"일시","ID","S00A","풍향","S00M","풍속","S01M","기온","강수","강수유무","습도","일사","일조","R01M"
"20190925004300","417","199.300003051758","남남서","194.100006103516","0.9","1.0","18.7","0.0","0.0","","0.00","0.00","0"
"20190925075600","417","69","동북동","84.4000015258789","1.5","1.6","18.3","0.0","0.0","","0.00","0.00","0"
"20190925093600","417","37.7999992370605","북동","36.5999984741211","1.0","1.2","21.5","0.0","0.0","","0.00","0.00","0"
"20190925014500","418","0","북","0","0.0","0.0","19.4","0.0","0.0","82","","","0"
"20190925040700","418","0","북","0","0.0","0.1","18.4","0.0","0.0","81","","","0"
"20190925025100","419","112.699996948242","동남동","105.099998474121","0.7","0.9","17.0","0.0","0.0","","","","0"
"20190925121100","419","101.5","동남동","125.5","1.0","2.5","22.1","0.0","0.0","","","","0"
"20190925093100","421","237.5","서남서","225","0.1","0.3","21.0","0.0","0.0","72","0.00","0.00","0"
"20190925033800","423","236","남서","222.199996948242","0.0","0.0","15.8","0.0","0.0","95","0.00","0.00","0"
"20190925034300","423","335.600006103516","북북서","340.299987792969","0.5","0.5","15.6","0.0","0.0","95","0.00","0.00","0"
"20190925080300","424","301.299987792969","서북서","348.799987792969","1.0","1.1","16.9","0.0","0.0","82","0.00","0.00","0"
"20190925110300","425","257.299987792969","서남서","227.800003051758","0.0","0.0","23.6","0.0","0.0","70","0.00","0.00","0"
"20190925075200","509","0","북","0","0.0","0.0","14.8","0.0","0.0","","0.00","0.00","0"
"20190925083400","509","0","북","331.899993896484","0.1","0.2","17.5","0.0","0.0","","0.00","0.00","0"
"20190925111400","509","7","북","309.399993896484","1.5","2.2","22.3","0.0","0.0","","0.00","0.00","0"
"20190925112100","510","270.399993896484","서","292.5","0.8","1.0","24.0","0.0","0.0","0","","","0"
"20190925030400","1151","0","북","0","0.0","0.0","17.4","0.0","0.0","78","0.00","0.00","0"
"20190925092800","1151","76.5","동북동","75.9000015258789","2.0","3.0","21.1","0.0","0.0","65","2.80","2.10","0"
"20190925100500","1151","154.199996948242","남남동","213.800003051758","0.1","0.6","21.5","0.0","0.0","63","3.30","2.70","0"
"20190925021900","1163","0","북","0","0.0","0.0","17.0","0.0","0.0","74","0.00","0.00","0"
"20190925094600","1175","0","북","0","0.0","0.0","25.0","0.0","0.0","50","3.10","9.70","0"
"20190925104500","1175","68.9000015258789","동북동","64.6999969482422","0.8","1.0","26.0","0.0","0.0","39","5.50","10.70","0"
"20190925000300","509","201.399993896484","남남서","208.100006103516","2.2","2.4","14.6","0.0","0.0","","0.00","0.00","0"
"20190925000400","509","201","남남서","208.100006103516","2.2","2.3","14.6","0.0","0.0","","0.00","0.00","0"
"20190925000500","509","199.600006103516","남남서","194.100006103516","2.2","2.6","14.6","0.0","0.0","","0.00","0.00","0"
"20190925000600","509","195.800003051758","남남서","202.5","2.3","2.5","14.6","0.0","0.0","","0.00","0.00","0"
"20190925100600","108","336.200012207031","북북서","345.799987792969","2.0","2.9","21.2","0.0","0.0","60","4.03","12000.00","0"
"20190925053400","402","99.1999969482422","동","104.099998474121","0.0","0.0","14.5","0.0","0.0","91","0.00","0.00","0"
"20190925033000","403","157.5","남남동","160.300003051758","1.4","1.8","17.0","0.0","0.0","","","","0"
"20190925063900","403","0","북","0","0.0","0.0","16.0","0.0","0.0","","","","0"
"20190925075800","403","347.5","북북서","340.299987792969","1.1","1.9","16.9","0.0","0.0","","","","0"
"20190925092600","403","18.5","북북동","2.79999995231628","1.0","1.7","20.3","0.0","0.0","","","","0"
"20190925102900","403","293.100006103516","서북서","292.5","0.9","1.3","21.5","0.0","0.0","","","","0"
"20190925015600","405","117.699996948242","동남동","118.099998474121","0.2","0.5","18.2","0.0","0.0","","0.00","0.00","0"
"20190925004700","406","339.5","북북서","8.39999961853027","0.5","0.6","14.9","0.0","0.0","94","","","0"
"20190925082000","406","134.300003051758","남동","157.5","0.3","0.6","17.0","0.0","0.0","90","","","0"
"20190925091900","406","46.2000007629395","북동","135","0.4","0.5","19.6","0.0","0.0","74","","","0"
"20190925051200","407","65.8000030517578","동북동","67.5","0.9","1.0","11.0","0.0","0.0","98","0.00","0.00","0"
"20190925052800","407","28.8999996185303","북북동","14.1000003814697","0.5","0.5","11.6","0.0","0.0","98","0.00","0.00","0"
"20190925042700","408","70.0999984741211","동북동","90","0.8","1.2","15.8","0.0","0.0","80","0.00","0.00","0"
"20190925120100","408","119.199996948242","동남동","132.199996948242","1.6","2.0","24.6","0.0","0.0","51","0.00","0.00","0"
"20190925023300","409","26.8999996185303","북북동","22.5","0.6","0.8","17.5","0.0","0.0","74","0.00","0.00","0"
"20190925044700","410","0","북","205.5","0.0","0.0","16.5","0.0","0.0","85","","0.00","0"
"20190925063600","410","54.7999992370605","북동","19.7000007629395","0.0","0.0","15.8","0.0","0.0","83","","0.00","0"
"20190925120200","411","132.699996948242","남동","135","1.2","2.0","25.8","0.0","0.0","48","","","0"
"20190925001000","412","42.7999992370605","북동","45","0.3","0.4","16.7","0.0","0.0","0","0.00","0.00","0"
"20190925121500","412","338","북북서","340.299987792969","0.5","0.7","25.6","0.0","0.0","0","0.00","0.00","0"
"20190925053400","413","76.5","동북동","73.0999984741211","1.0","1.6","15.0","0.0","0.0","85","0.00","0.00","0"
"20190925120500","413","105.300003051758","동남동","120.900001525879","0.7","1.3","24.1","0.0","0.0","50","0.00","0.00","0"
"20190925122700","415","125","남동","236.300003051758","0.2","0.5","25.7","0.0","0.0","","0.00","0.00","0"
"20190925083700","417","93.0999984741211","동","92.8000030517578","1.3","1.5","19.8","0.0","0.0","","0.00","0.00","0"
"20190925070700","418","106","동남동","106.900001525879","2.2","2.7","18.0","0.0","0.0","80","","","0"
"20190925100700","421","174","남","180","2.0","2.9","21.0","0.0","0.0","69","0.00","0.00","0"
"20190925032400","423","250.199996948242","서남서","298.100006103516","0.0","0.0","15.9","0.0","0.0","95","0.00","0.00","0"
"20190925094300","424","131.199996948242","남동","135","0.7","1.0","20.0","0.0","0.0","70","0.00","0.00","0"
"20190925023100","509","208.699996948242","남남서","216.600006103516","2.5","2.7","15.0","0.0","0.0","","0.00","0.00","0"
"20190925024600","405","144.5","남동","151.899993896484","1.0","1.5","18.7","0.0","0.0","","0.00","0.00","0"
"20190925033400","510","0","북","0","0.0","0.0","18.8","0.0","0.0","0","","","0"
"20190925060400","510","157.399993896484","남남동","149.100006103516","0.5","0.6","17.7","0.0","0.0","0","","","0"
"20190925115500","510","52","북동","36.5999984741211","2.2","3.0","26.0","0.0","0.0","0","","","0"
"20190925122900","510","303.700012207031","서북서","317.799987792969","1.0","1.4","25.0","0.0","0.0","0","","","0"
"20190925042700","404","0","북","0","0.0","0.0","15.1","0.0","0.0","0","0.00","0.00","0"
"20190925034800","1172","0","북","0","0.0","0.0","17.2","0.0","0.0","","0.00","0.00","0"
"20190925050800","1175","0","북","0","0.0","0.0","16.1","0.0","0.0","63","0.00","5.10","0"
"20190925051000","401","145.899993896484","남동","149.100006103516","1.0","1.1","14.5","0.0","0.0","","0.00","0.00","0"
"20190925112700","401","184.399993896484","남","196.899993896484","0.9","1.3","24.3","0.0","0.0","","0.00","0.00","0"
"20190925085900","402","72","동북동","92.8000030517578","1.0","3.0","18.0","0.0","0.0","73","0.00","0.00","0"
"20190925075400","404","6.30000019073486","북","5.59999990463257","0.5","0.8","17.0","0.0","0.0","0","0.00","0.00","0"
"20190925120700","404","59.7000007629395","동북동","98.4000015258789","1.4","2.5","25.0","0.0","0.0","0","0.00","0.00","0"
"20190925120700","405","1.70000004768372","북","0","2.0","3.0","26.3","0.0","0.0","","0.00","0.00","0"
"20190925090300","406","66","동북동","81.5999984741211","1.0","1.1","19.2","0.0","0.0","77","","","0"
"20190925112800","406","185","남","174.399993896484","2.0","2.7","23.5","0.0","0.0","61","","","0"
"20190925114200","407","139","남동","188.399993896484","0.6","1.0","22.7","0.0","0.0","60","0.00","0.00","0"
"20190925022300","408","88.0999984741211","동","90","0.6","0.7","17.0","0.0","0.0","74","0.00","0.00","0"
"20190925073700","408","35.0999984741211","북동","36.5999984741211","1.1","1.5","16.4","0.0","0.0","77","0.00","0.00","0"
"20190925121100","408","154","남남동","180","0.6","0.9","23.7","0.0","0.0","50","0.00","0.00","0"
"20190925015700","409","11.6999998092651","북북동","22.5","1.8","2.0","17.5","0.0","0.0","73","0.00","0.00","0"
"20190925085600","409","86.5999984741211","동","92.8000030517578","1.7","2.0","19.0","0.0","0.0","74","0.00","0.00","0"
"20190925043400","410","0","북","199.800003051758","0.0","0.0","16.0","0.0","0.0","86","","0.00","0"
"20190925010600","412","39.2000007629395","북동","45","0.8","0.8","16.7","0.0","0.0","0","0.00","0.00","0"
"20190925020900","412","79.3000030517578","동","87.1999969482422","1.0","1.1","16.6","0.0","0.0","0","0.00","0.00","0"
"20190925035300","412","52.5999984741211","북동","56.2999992370605","2.1","2.5","17.0","0.0","0.0","0","0.00","0.00","0"
"20190925070800","412","58.5","동북동","39.4000015258789","2.0","2.5","16.5","0.0","0.0","0","0.00","0.00","0"
"20190925013400","414","355.700012207031","북","351.600006103516","0.1","0.4","17.0","0.0","0.0","82","0.00","0.00","0"
"20190925034800","414","286.299987792969","서북서","281.299987792969","0.2","0.3","16.0","0.0","0.0","89","0.00","0.00","0"
"20190925090900","414","108.199996948242","동남동","118.099998474121","2.6","3.0","19.0","0.0","0.0","76","0.00","0.00","0"
"20190925042000","415","36","북동","42.2000007629395","1.1","1.2","17.2","0.0","0.0","","0.00","0.00","0"
"20190925060100","416","0","북","0","0.0","0.0","11.6","0.0","0.0","","0.00","0.00","0"
"20190925112400","417","55.5","북동","87.1999969482422","0.5","1.0","24.8","0.0","0.0","","0.00","0.00","0"
"20190925073800","418","0","북","115.300003051758","0.0","0.4","18.3","0.0","0.0","79","","","0"
"20190925095700","418","0","북","0","0.0","0.0","20.8","0.0","0.0","69","","","0"
"20190925064500","419","111","동남동","112.099998474121","2.0","2.2","15.0","0.0","0.0","","","","0"
"20190925095100","421","4","북","11.3000001907349","0.0","0.0","21.3","0.0","0.0","69","0.00","0.00","0"
"20190925043200","423","351","북","343.100006103516","0.4","0.5","15.4","0.0","0.0","95","0.00","0.00","0"
"20190925102400","423","136.300003051758","남동","132.199996948242","1.3","2.0","22.5","0.0","0.0","67","0.00","0.00","0"
"20190925125000","509","337.600006103516","북북서","337.5","1.0","1.5","24.7","0.0","0.0","","0.00","0.00","0"
"20190925000500","510","0","북","0","0.0","0.0","20.1","0.0","0.0","0","","","0"
"20190925033500","510","0","북","0","0.0","0.0","18.8","0.0","0.0","0","","","0"
"20190925115600","510","35.9000015258789","북동","5.59999990463257","2.1","2.4","25.5","0.0","0.0","0","","","0"
